date,sales
2019-01-31,350.5055241056604
2019-02-28,288.3175977753013
2019-03-31,309.28859670008103
2019-04-30,385.7683175937543
2019-05-31,366.42127265768437
2019-06-30,208.52679892098675
2019-07-31,322.8710482631058
2019-08-31,300.426321454456
2019-09-30,284.27717728659354
2019-10-31,322.8568771057287
2019-11-30,836.6804494090985
2019-12-31,416.19859115874317
2020-01-31,353.53069735571864
2020-02-29,330.50174118594
2020-03-31,352.115760680243
2020-04-30,363.41719121961165
2020-05-31,445.17485252579405
2020-06-30,320.0962071361735
2020-07-31,1029.4006985201752
2020-08-31,296.9673616734568
2020-09-30,164.35882955115406
2020-10-31,425.31420661262666
2020-11-30,1231.9690504988696
2020-12-31,316.30748664930917
2021-01-31,571.7261424011961
2021-02-28,264.6016962761291
2021-03-31,394.42749368725293
2021-04-30,370.4437472601094
2021-05-31,549.7243907147987
2021-06-30,546.0378496002292
2021-07-31,1191.1476565459093
2021-08-31,467.4260029748913
2021-09-30,338.81038051157105
2021-10-31,246.67065418763704
2021-11-30,1137.2654557496132
2021-12-31,466.92472601797215
